model,query_type,n_queries,hit@5,precision@5,ndcg@5,hit@10,precision@10,ndcg@10,hit@20,precision@20,ndcg@20,mrr,median_rank,mean_rank
specter2,keyword_query,479,0.5177,0.1035,0.4098,0.6054,0.0605,0.4387,0.7015,0.0351,0.4629,0.3975,5,149.2
specter2,task_query,479,0.3048,0.061,0.2278,0.3946,0.0395,0.2565,0.4843,0.0242,0.279,0.2257,24,623.0
specter2,problem_query,479,0.2171,0.0434,0.167,0.2693,0.0269,0.1837,0.334,0.0167,0.1998,0.1683,53,1024.6
specter2,natural_query,479,0.6493,0.1299,0.5442,0.7035,0.0704,0.5618,0.7871,0.0394,0.5832,0.5259,2,82.2
scibert,keyword_query,479,0.0125,0.0025,0.0071,0.023,0.0023,0.0106,0.0438,0.0022,0.0159,0.0105,2839,7223.8
scibert,task_query,479,0.0146,0.0029,0.0087,0.0271,0.0027,0.013,0.0418,0.0021,0.0166,0.0124,2531,7144.5
scibert,problem_query,479,0.0271,0.0054,0.016,0.0418,0.0042,0.0206,0.0564,0.0028,0.0242,0.0172,3535,7675.8
scibert,natural_query,479,0.0731,0.0146,0.0479,0.1044,0.0104,0.0579,0.1253,0.0063,0.0632,0.0498,767,3469.4
